"Nom / Raison sociale","Commune","Code postal","Paiements directs aux agriculteurs (Feaga)","Autres paiements Feaga","Paiements Feader (hors pr�ts bonifi�s)","Paiements pr�ts bonifi�s (Feader)","Montant total"
"EARL DU MILLENAIRE","ANDELOT BLANCHEVILLE",52700,163735.76,0,6587.9,0,170323.66
"EARL DU MONT-LOUE","TROIS RIVIERES",97114,149251.6,0,15401.93,0,164653.53
"EARL DU PETIT PATY","ARLES",13200,158596.79,0,0,0,158596.79
"EARL DUGAT CLAUDE","GEVREY CHAMBERTIN",21220,0,172302.07,0,0,172302.07
"EARL ETANG GOMMIER","TROIS RIVIERES",97114,169296.95,0,6261.1,0,175558.05
"EARL FERME DU MARAIS","VERT SAINT DENIS",77240,149699.55,0,11267.2,0,160966.75
"EARL FERME DU SANON","AVRICOURT",57810,148051.98,0,11153.67,0,159205.65
"EARL FREDERIC BON","ARLES",13200,147497.96,0,14844.75,0,162342.71
"EARL GODO","NITRY",89310,161152.95,0,0,0,161152.95
"EARL HELLOCOURT","MAIZIERES LES VIC",57810,168578.03,0,2734.57,0,171312.6
"EARL JEANTY","SAINT VAASAINT LES MELLO",60660,168735.16,0,0,0,168735.16
"EARL JEROME","ARLES",13200,171839.15,0,0,0,171839.15
"EARL LA GRANGE TIPHAINE","AMBOISE",37400,9680.82,151874.54,4721.5,0,166276.86
"EARL LAMY","QUESNOY SUR AIRAINES",80270,159143.41,0,0,0,159143.41
"EARL LE PORTAIL","CHAILLE LES MARAIS",85450,131842.65,0,42107.61,0,173950.26
"EARL LE QUADRIGE","TRAINOU",45470,150357.1,0,7200.64,0,157557.74
"EARL RATHUEVILLE","LEFFINCOURT",8310,154554.67,0,11876,0,166430.67
"EARL S GUERIN","GUE DE LONGROI",28700,155372.6,0,4128.29,0,159500.89
"EARL SYLVAIN","ARLES",13200,162247.53,0,9998.34,0,172245.87
"EARL TENOS","SAINTE MARIE",97230,150131.39,0,8216.32,0,158347.71
"EARL THOMA","BRETEUIL",60120,174601.99,0,0,0,174601.99
"EARL VAN DEN BOSSCHE","AUBIGNY",80800,170646.91,0,0,0,170646.91
"EARL VANDAME","VILLIERS LE BACLE",91190,82836.66,0,84002.7,0,166839.36
"ELVIR","CONDE SUR VIRE",50890,0,156646.79,0,0,156646.79
"EPLEFPA DE PERIGUEUX","COULOUNIEIX CHAMIERS",24660,0,0,176463.5,0,176463.5
"ETABLISSEMENTS GOURAULT","BLOIS CEDEX",41013,0,167370.45,0,0,167370.45
"ETS G BORIES","PLAISANCE",12550,0,0,159572.8,0,159572.8
"EURL GANDON BENOIT","GOURGANCON",51230,163632.2,0,0,0,163632.2
"EURL GANDON BRUNO","GOURGANCON",51230,160515.82,0,0,0,160515.82
"FRANCOIS COLLARD","BEAUCAIRE",30300,0,160621.05,0,0,160621.05
"FROMAGERIE DE LA MEIX","REILLON",54450,0,0,157217.11,0,157217.11
"GAEC AGRIVAL","BALMA",31130,165290.29,0,0,0,165290.29
"GAEC AUBRY","JOURS LES BAIGNEUX",21450,149459.35,0,19343.05,0,168802.4
"GAEC AUDEBERT ET THIROUX","CORBEIL",51320,157497.81,0,9707.91,0,167205.72
"GAEC BATAILLON","TARDES",23170,157966.77,0,9382.77,983.38,168332.92
"GAEC BCM","AUVERSE",49490,148499.87,0,9392.64,0,157892.51
"GAEC BEAULIEU","GAILLARDE",76740,158281.75,0,0,0,158281.75
"GAEC BENOIST-RICHEBOURG","SENNEVOY LE HAUT",89160,160780.37,0,6384.38,0,167164.75
"GAEC BOISNARD","VIEUX PONT EN AUGE",14140,159475.54,0,16800,0,176275.54
"GAEC BOISSIER","ECLANCE",10200,163246.33,0,0,1141.32,164387.65
"GAEC BRAIDY","FONTAINE LES VERVINS",2140,148699.78,0,27733.49,0,176433.27
"GAEC BRARDO","SAINT CLAR DE RIVIERE",31600,177577.48,0,0,0,177577.48
"GAEC BRASSART","SAILLY FLIBEAUCOURT",80970,121812.9,31123.2,6342.69,0,159278.79
"GAEC BRUEY","BELLENOD SUR SEINE",21510,148368.72,0,10129.92,943.72,159442.36
"GAEC CAILLOT","ARS LES FAVETS",63700,122780.49,0,49694.21,2601.92,175076.62
"GAEC CARPEZA","ROISEL",80240,162379.57,0,7242.52,0,169622.09
"GAEC CLAIR","ILLIAT",1140,166505.4,0,10643.44,0,177148.84
"GAEC COPET-BONNELYE","CUSSET",3300,103309.88,0,53050.97,4299.16,160660.01
"GAEC CORNU","COLLANCELLE",58800,157978.73,0,6093.34,4170.18,168242.25
"GAEC CUSSAC LA CHAUMETTE","SAINT FLOUR",15100,34559.79,0,124119.81,0,158679.6
"GAEC DE BARASSIER","SAINT VICTOR",3410,156074.27,0,18516.67,0,174590.94
"GAEC DE BARBEZIEUX","BARBAS",54450,149705.17,0,20372.92,0,170078.09
"GAEC DE BEAULIEU","PACY SUR ARMANCON",89160,161853.88,0,2572.6,0,164426.48
"GAEC DE BEAUREGARD","THERVAY",39290,160331.16,0,16071.38,0,176402.54
"GAEC DE BEAUSEJOUR","GANDELAIN",61420,166732.08,0,9609.32,108.22,176449.62
"GAEC DE BEETS PERE ET FILS","SAINT GERMAIN DES PRES",45220,163067.85,0,0,0,163067.85
"GAEC DE BEL AIR","CHANNAY",21330,170211.14,0,0,0,170211.14
"GAEC DE BEL ASPECT","SALLES SUR L HERS",11410,169566.11,0,40,0,169606.11
"GAEC DE BOUDHARELLE","CHUISNES",28190,158551.25,0,0,0,158551.25
"GAEC DE CHAMEANE","CHAMEANE",63580,55638.49,0,108729.68,0,164368.17
"GAEC DE CHAMPENOIS","AMANVILLERS",57865,158479.69,0,15200,0,173679.69
"GAEC DE CHEVIGNEY","CHEVIGNEY",70140,166678.97,0,7780.16,0,174459.13
"GAEC DE CONDE MICHELOT","HAUTS DE CHEE",55000,157046.43,0,0,0,157046.43
"GAEC DE CORINTHE","THENAC",17460,161096.61,0,12608.44,0,173705.05
"GAEC DE COURLANDE","SAINT ANDRE EN BARROIS",55220,152147.64,0,6440,0,158587.64
"GAEC DE GRAMMONT","CHATEAUMEILLANT",18370,150607.14,0,5640.51,2347.52,158595.17
"GAEC DE GRAMMONT","LONGEVILLE SUR LA LAINES",52220,148984.92,0,9871.27,0,158856.19
"GAEC DE GROUCEZET","LAURESSES",46210,117150.62,0,51988.5,1006.72,170145.84
"GAEC DE HICOURT","LUPPY",57580,142240.82,0,14478.99,0,156719.81
"GAEC DE LA BELLE PIERRE","SACQUENAY",21260,167292.66,0,10390.95,0,177683.61
"GAEC DE LA BELLE VUE","AIBES",59149,163565.13,0,0,0,163565.13
"GAEC DE LA BORIE D'AUBEROQUE","SEVERAC LE CHATEAU",12150,118660.14,0,46127.01,0,164787.15
"GAEC DE LA CHAPELLE","VOINEMONT",54134,151513.15,0,11770.92,31.92,163315.99
"GAEC DE LA CHEZE","LATILLE",86190,156104.01,0,0,0,156104.01
"GAEC DE LA COCODERIE","AVESSAC",44460,147806.23,0,12294.97,0,160101.2
"GAEC DE LA FONTAINE","BEAUMONT SUR GROSNE",71240,144342.58,0,17971.52,879.8,163193.9
"GAEC DE LA FORESTERIE","MESANGER",44522,145818.57,0,13090.88,967.24,159876.69
"GAEC DE LA FRETARIE","HUPARLAC",12460,116646.12,0,41157.81,0,157803.93
"GAEC DE LA GLAYERE","ISSE",51150,158948.6,0,0,0,158948.6
"GAEC DE LA HAUTE VARENNE","SAINT PIERRE DE MAILLE",86260,166562.45,0,6002.5,0,172564.95
"GAEC DE LA MEE","CHATEAUBRIANT",44110,150781.69,0,8399.36,0,159181.05
"GAEC DE LA MODER","PFAFFENHOFFEN",67350,154714.8,0,6557.45,0,161272.25
"GAEC DE LA MUETTE","GRIVY LOISY",8400,168926.69,0,3055.05,0,171981.74
"GAEC DE LA PLANE","BOUSSAC",12160,62806.39,0,97279.66,3825.92,163911.97
"GAEC DE LA REDONDIE","SAINT ASTIER",24110,153800.9,0,11943.75,0,165744.65
"GAEC DE L'AGNEAU LORRAIN","FOULCREY",57830,123107.65,0,41496.34,2630.16,167234.15
"GAEC DE L'AURON ET AIRAIN","ANNOIX",18340,137708.47,0,29201.55,0,166910.02
"GAEC DE L'ELEE","HAM",53250,168591.49,0,1151.49,0,169742.98
"GAEC DE L'ERMITAGE","VELESMES ECHEVANNE",70100,151043.83,0,11254.72,0,162298.55
"GAEC DE L'ESPERANCE","MARCHEMAISONS",61170,151779.78,0,20013.89,0,171793.67
"GAEC DE L'ETOILE","COURGEON",61400,114673.72,0,49898.48,0,164572.2
"GAEC DE L'ETOILE","BEAUCHEMIN",52260,153060.57,0,15749.41,289.96,169099.94
"GAEC DE LIGNY","SAIZY",58190,135124.63,0,29870.07,851.42,165846.12
"GAEC DE L'IMBERT","PONTLEVOY",41400,146824.8,0,13150.4,0,159975.2
"GAEC DE L'ORMANCON","MANDRES EN BARROIS",55290,168764.82,0,0,0,168764.82
"GAEC DE LORMET","AMBRONAY",1500,167541.25,0,0,0,167541.25
"GAEC DE LURE","SAINT ETIENNE LES ORGUES",4230,95852.02,0,61362.09,0,157214.11
"GAEC DE MAILLOT BOURIOT","LEVIER",25270,95399.96,0,70963.84,9283.88,175647.68
"GAEC DE MAITREHANCHE","BAGNEUX",54170,156774.04,0,0,0,156774.04
"GAEC DE MOLMERY","ZOMMANGE",57260,164853.63,0,0,0,164853.63
"GAEC DE MONSEIGNE","SAINT LAURENT LOLMIE",46800,174648.88,0,2599.86,0,177248.74
"GAEC DE PAREID","PAREID",55160,167629.56,0,0,0,167629.56
"GAEC DE PASCAL","LACAUNE",81230,87050.24,0,80801.01,0,167851.25
"GAEC DE PINETTE","CROIX EN CHAMPAGNE",51600,160476.14,0,0,0,160476.14
"GAEC DE POUCHIOU","ASTAFFORT",47220,151909.31,0,4541.67,0,156450.98
"GAEC DE SAINT LEGER ET TALMAY","TALMAY",21270,163534.75,0,0,0,163534.75
"GAEC DE SAINT PANCRAS","MAILLERONCOURT SAINT PANCRAS",70210,126282.16,0,42688.9,1816.82,170787.88
"GAEC DE SALESSE","CASTELNAUD DE GRATECAMBE",47290,163891.22,0,6074.97,2899.02,172865.21
"GAEC DE SELINS","BAZOLLES",58110,116197.43,0,41872.71,541.72,158611.86
"GAEC DE SENOZAN","SENOZAN",71260,69063.06,0,95249.99,0,164313.05
"GAEC DE SORCY","SORCY SAINT MARTIN",55190,124575.04,0,32066.66,0,156641.7
"GAEC DE STIVAN","BIZIAT",1290,160126.9,0,6309,0,166435.9
"GAEC DE TALIPIAT","VIEU D IZENAVE",1430,61641.57,0,98376.84,2063.3,162081.71
"GAEC DE VAUNAVES","THOARD",4380,68796.51,0,96728.01,0,165524.52
"GAEC DE VELLE","MONTIGNY EN MORVAN",58120,132813.17,0,34511.24,0,167324.41
"GAEC DE VILLARS","CHAOUILLEY",54330,165514.61,0,7640.59,0,173155.2
"GAEC DEBOUX","CHOUGNY",58110,130132.1,0,34590.09,1017.16,165739.35
"GAEC DELALEAU LOIRE","CHEVRIERES",60710,118833.96,20413.27,27981.16,0,167228.39
"GAEC DELRIEU","POLMINHAC",15800,107762.93,0,48301.8,0,156064.73
"GAEC DEPREZ","VILLERS LE SEC",2240,166933.42,0,0,0,166933.42
"GAEC DES ALOUETTES","JOUX LA VILLE",89440,143124.46,0,14154.88,0,157279.34
"GAEC DES ANCHOTTES","SORNAY",70150,163463.32,0,6944.98,0,170408.3
"GAEC DES ARPENTS","PLESSIS BARBUISE",10400,158892.76,0,0,0,158892.76
"GAEC DES BERLINGUETS","FOUGEROLLES",36230,127571.83,0,41497.16,1078.2,170147.19
"GAEC DES BREGNES","SAINT CROIX DE MAREUIL",24340,138042.23,0,29829.63,672.08,168543.94
"GAEC DES CADENIERES","MONTMEYAN",83670,122176.96,0,48630.74,0,170807.7
"GAEC DES CHARMILLES","BENASSAY",86470,144484.87,0,25185.29,0,169670.16
"GAEC DES COMBETS DU LARZAC","MILLAU",12100,86425.44,0,76294.12,2049.38,164768.94
"GAEC DES EGUILLOTTES","ECHALOT",21510,144038.36,0,17785.39,4568.8,166392.55
"GAEC DES FRENES","NASBINALS",48260,64869.67,0,103213,0,168082.67
"GAEC DES GARANTONS","BATIE NEUVE",5230,84554.8,0,71977.45,2305.48,158837.73
"GAEC DES LANDES","SAINT MICHEL ET CHANVEAUX",49420,152879.01,0,9728.96,0,162607.97
"GAEC DES MYOSOTIS","CHALIERS",15320,55315.65,0,110656.53,0,165972.18
"GAEC DES NOUVEAUX PRES","RONCOURT",57860,146905.22,0,14970.24,0,161875.46
"GAEC DES ORMEAUX","OMELMONT",54330,157389.68,0,0,0,157389.68
"GAEC DES PLANTES","PRECY LE SEC",89440,162312.08,0,0,0,162312.08
"GAEC DES PRELES","GIVRY",71640,163111.16,0,0,0,163111.16
"GAEC DES PRESLES","FRESNES SUR APANCE",52400,131605.93,0,24025.08,2336.2,157967.21
"GAEC DES ROCHES","MAREILLES",52700,167216.38,0,10734.12,0,177950.5
"GAEC DES ROCHES","GRANCEY LE CHATEAU NEUVELL",21580,121197.86,0,38455.04,3419.82,163072.72
"GAEC DES ROCHES OUVRARD","MARANS",17230,147111.23,0,18805.32,0,165916.55
"GAEC DES ROIZES","RIMAUCOURT",52700,141833.85,0,20600,0,162433.85
"GAEC DES ROSERS","BOURBONNE LES BAINS",52400,144752.25,0,20435.85,0,165188.1
"GAEC DES SABLIERES","PRE SAINT EVROULT",28800,159923.31,0,14829.73,0,174753.04
"GAEC DES SANTOLINES","VEHO",54450,149832.27,0,9699.84,879.82,160411.93
"GAEC DES TERRES BLANCHES","LENHARREE",51230,168545.08,0,0,0,168545.08
"GAEC DES 3 HORIZONS","MESANGER",44522,139048.11,0,26000,0,165048.11
"GAEC DEUX OLIVIERS","SOUDAN",79800,147334.7,0,12897.35,0,160232.05
"GAEC DU CHAILLOUE","SAINT MARD DE RENO",61400,157459.31,0,0,0,157459.31
"GAEC DU CHEVATEL","LAMAZIERE HAUTE",19340,71827.97,0,100845.67,500.8,173174.44
"GAEC DU COUDROY","SAINT MARTIN LE GAILLARD",76260,160162.56,0,0,0,160162.56
"GAEC DU CUL DU CERF","ORQUEVAUX",52700,154776.31,0,16191.93,0,170968.24
"GAEC DU GIBOUX","VERREY SOUS SALMAISE",21690,133266.99,0,21600.61,1647.38,156514.98
"GAEC DU LAC","LUPPY",57580,147141.73,0,15486.07,0,162627.8
"GAEC DU MEZENC","ESTABLES",43150,68912.41,0,98767.02,1211.14,168890.57
"GAEC DU MONT REGNIER","MONT SAINT SULPICE",89250,155053.99,0,8828.16,0,163882.15
"GAEC DU MONTEIL","MAZEYRAT D ALLIER",43300,103144.89,0,57807.52,2431.26,163383.67
"GAEC DU MORVAN","CUSSY EN MORVAN",71550,113721.1,0,46581.42,1642.24,161944.76
"GAEC DU MOULIN PIERRE","MECRIN",55300,151005.65,0,12320.18,0,163325.83
"GAEC DU PIGEONNIER","HAUDRICOURT",76390,160317.33,0,0,0,160317.33
"GAEC DU PLESSIS ROTS","SAINT MARTIN DE SALLEN",14220,157713.92,0,0,4961.2,162675.12
"GAEC DU PRIEURE","COLMESNIL MANNEVILLE",76550,157100.95,0,0,0,157100.95
"GAEC DU PRINTEMPS","VERNIERFONTAINE",25580,47512.28,0,109364.81,3219.18,160096.27
"GAEC DU RADAR","MONTREUIL SUR THONNANCE",52230,82983.19,0,85176.21,0,168159.4
"GAEC DU TILLEUL","GUILLON",89420,132543.8,0,31094.54,573.48,164211.82
"GAEC DU VAL DE CHER","NASSIGNY",3190,175118.76,0,0,0,175118.76
"GAEC DU VAL SAINT JEAN","THERVAY",39290,142742.57,0,16797.68,2133.12,161673.37
"GAEC DUBOIS","VILLELOIN COULANGE",37460,138143.12,0,21826.7,0,159969.82
"GAEC DUJARRIER","MASSIGNAC",16310,153230.32,0,5972.62,0,159202.94
"GAEC DUTHOIT-PHILIPPOTEAUX","SERVON MELZICOURT",51800,107120.57,0,50692,0,157812.57
"GAEC ESTIVALET BUREAU","ETAULES",21121,141257.49,0,28272.38,0,169529.87
"GAEC FERRY","AMPILLY LE SEC",21400,165454.8,0,0,0,165454.8
"GAEC FESTILAIT","DENNEY",90160,151532.49,0,11930.56,1569.24,165032.29
"GAEC FLETY","MONTHELON",71400,124724.4,0,37556.18,1942.2,164222.78
"GAEC FONTCOUVERTE","RABOUILLET",66730,96164.26,0,78053.25,0,174217.51
"GAEC FOY MARCEL ET FILS","MAILLY LE CAMP",10230,175129.53,0,0,0,175129.53
"GAEC FRAPPIER FRERES","CONCREMIERS",36300,156302.83,0,5750.75,2091.82,164145.4
"GAEC GAUTIER","OCQUERRE",77440,159025.94,0,0,0,159025.94
"GAEC GIRARD CLERC","BAY",70150,161092.93,0,0,0,161092.93
"GAEC JARDIN FONTAINE","FORGES SUR MEUSE",55110,158896.57,0,10432.64,0,169329.21
"GAEC KESTLERHOF - ZILLIOX","WEYERSHEIM",67720,106792.81,0,52847.54,0,159640.35
"GAEC KISLIG-THIERY-LALLOZ","JESONVILLE",88260,152199.33,0,5028.28,0,157227.61
"GAEC LA BARRIERE","VALLANS",79270,124126.26,0,34455.2,0,158581.46
"GAEC LA GACHETIERE","GROSBREUIL",85440,166523.65,0,0,0,166523.65
"GAEC LABOUR","GRIMAULT",89310,159978.67,0,12152,0,172130.67
"GAEC LAMPSON","SEMIDE",8400,177071.35,0,0,0,177071.35
"GAEC LAPORTE A LA CONTIE","MARMANHAC",15250,132976.43,0,40120.56,0,173096.99
"GAEC LE CAUSSENARD","FONTANES DU CAUSSE",46240,96123.85,0,75220.56,1424.2,172768.61
"GAEC LE GAZON-FORGERIT","MAREUIL SUR LAY DISSAIS",85320,155182.06,0,1222.5,608.3,157012.86
"GAEC LE LAC CLAR","CUZANCE",46600,130113.7,0,43910.2,0,174023.9
"GAEC LE MANOIR","SAINT MAURICE DES NOUES",85120,126790.7,0,36646.3,0,163437
"GAEC LE PRE DE LA FONTAINE","CHASNAIS",85400,126971.81,0,30415.73,362.84,157750.38
"GAEC LECHENAULT FRERES","SAINT THIBAULT",21350,120756.96,0,30184.94,5168.3,156110.2
"GAEC LES COTEAUX DU DON","GUEMENE PENFAO",44290,148834.91,0,7894.4,0,156729.31
"GAEC LES RIVES DE SAONE","VY LES RUPT",70120,138052.67,0,20671.32,0,158723.99
"GAEC LES TERRIENS","POIRE SUR VIE",85170,170774.31,0,0,0,170774.31
"GAEC LIMOVENTS","TREIZE VENTS",85590,160944,0,0,0,160944
"GAEC LURIER","COLMERY",58350,161089.05,0,15150,103.84,176342.89
"GAEC MACO-MERINOS","NOYERS SUR JABRON",4200,82967.4,0,73244.71,0,156212.11
"GAEC MAQUINGHEN","SAINT JOSSE",62170,143449.61,0,13046.29,0,156495.9
"GAEC MATRINGHEM","JOUHET",86500,165310.86,0,4322.12,0,169632.98
"GAEC MITTON","BESSAY SUR ALLIER",3340,153394.8,0,7114.39,0,160509.19
"GAEC MONTAGARD FERRER","BEDOIN",84410,92123.38,0,82251.19,0,174374.57
"GAEC MONTE ROSSO","PIETRALBA",20218,135763.56,0,33778.22,0,169541.78
"GAEC OLLIER TAILLEFER","FOS",34320,0,162026.55,8932,172.52,171131.07
"GAEC PATOUX","SANCY LES PROVINS",77320,156105.73,0,0,0,156105.73
"GAEC PISTRE","MURAT SUR VEBRE",81320,48584.46,0,111290.77,1017.46,160892.69
"GAEC PITRE PERE ET FILS","MEIX",21580,147434.32,0,20904.52,0,168338.84
"GAEC POINTIN","BONNAY",80800,167487.36,0,0,0,167487.36
"GAEC POURQUIER","MASSEGROS",48500,89796.07,0,70459.43,2585.48,162840.98
"GAEC PRE DU GUET","PUELLEMONTIER",52220,164313.71,0,0,0,164313.71
"GAEC PUJOL","VERNET",9700,133785.41,0,25833.53,3980.34,163599.28
"GAEC RAVIOL PERE ET FILS","ARLES",13200,156162.86,0,0,0,156162.86
"GAEC ROBERT","SAINT JEAN EN ROYANS",26190,98992.39,0,58349.48,0,157341.87
"GAEC ROGER","LANTY SUR AUBE",52120,159155.83,0,11170.56,0,170326.39
"GAEC ROLIN","VITRY LACHE",58420,162635.2,0,8268.75,533.26,171437.21
"GAEC ROMAGNY","SOIZE",2340,156073.27,0,9323.52,0,165396.79
"GAEC ROY","SAINT MATHURIN",85150,167965.39,0,0,0,167965.39
"GAEC SAINT ETIENNE","CEINTREY",54134,144223.08,0,23711.24,0,167934.32
"GAEC SAINT GERMAIN","SAINT VIVIEN",17220,128351.73,0,39081.09,0,167432.82
"GAEC SAINT-LOUP","SAINT LOUP SUR AUJON",52210,165105.71,0,6632.33,0,171738.04
"GAEC SANSOIT","PAZY",58800,166408.44,0,6125,0,172533.44
"GAEC SOCLANB","SOMMESNIL",76560,157097.28,0,0,0,157097.28
"GAEC SOUS LA ROCHE","CHATELBLANC",25240,32060.52,0,130632.69,0,162693.21
"GAEC SAINT BARNABE","COURMES",6620,43801.26,0,132119.53,0,175920.79
"GAEC STAR 2000","ISSY L EVEQUE",71760,144314.77,0,28327.55,3339,175981.32
"GAEC STRUTIA","CHEDIGNY",37310,127790.4,0,34707.17,0,162497.57
"GAEC TERTRAIS CAZAT VIROLLES","BUJALEUF",87460,86952.63,0,85866.93,3246.84,176066.4
"GAEC THEVENIAUD","SAINT HILAIRE FONTAINE",58300,135804.6,0,22066.28,0,157870.88
"GAEC VERBERCKMOES","TRANS SUR ERDRE",44440,143078.04,0,19969.98,0,163048.02
"GAEC VOLLORY","BESSE",15140,92890.37,0,67002.63,453.24,160346.24
"GDS REUNION","PLAINE DES CAFRES",97418,0,0,161516.33,0,161516.33
"GFA DU CARTERON","MORTAGNE SUR SEVRE",85290,162584.03,0,0,0,162584.03
"GFA MAS MANDON","ARLES",13200,167519,0,0,0,167519
"INRA UCEA BB","LEUDEVILLE",91630,159132.92,0,0,0,159132.92
"INTER RHONE","AVIGNON",84000,0,142416.8,30852.78,0,173269.58
"LA PINEDE","BELFORT DU QUERCY",46230,0,0,163928.64,0,163928.64
"LA VALLEE DES SINGES","ROMAGNE",86700,0,0,162666.66,0,162666.66
"LANGUEDOC CAMARGUE","NIMES",30900,0,174229.54,0,0,174229.54
"LOUVIGNE COMMUNAUTE","LOUVIGNE DU DESERT",35420,0,0,174848.13,0,174848.13
"MAIRIE DE DECIZE","DECIZE",58300,0,1120.28,161629,0,162749.28
"NATUR'POM","SAINT AUBIN LE DEPEINT",37370,0,162616.16,0,0,162616.16
"PIAT PERE ET FILS B.V.","P O BOX 58002 PAYS BAS",99999,0,176970.4,0,0,176970.4
"POITOU PRODUITS DU SOL SARL","SAINT JEAN DE SAUVES",86330,0,171792.04,0,0,171792.04
"ROULOT-FOURNIER","FESTIGNY",51700,0,171513,0,0,171513
"SA EXPLOITATION AGRICOLE LA MONTAGNE PELEE","SAINT PIERRE",97250,39206.2,0,131014,0,170220.2
"SA FERME DE LA PICARDIE","COURGENAY",89190,172832.28,0,0,0,172832.28
"SA GARROT CHAILLAC","SAINT GILLES",30800,166877.12,0,0,0,166877.12
"SA GIMA","TOURNAN EN BRIE",77220,173063.7,0,0,0,173063.7
"SA LESAFFRE","NANGIS",77370,161050.09,0,0,0,161050.09
"SA LHUILLIER","CONTREXEVILLE",88140,165464,0,0,0,165464
"SA REGALP","RIBIERS",5300,0,173459.24,0,0,173459.24
"SA USINE DU MARIN","MARIN",97290,111800,0,48589,0,160389
"SARL ARGAUD","PUYOO",64270,0,0,167764.48,0,167764.48
"SARL CHARMELIEU","SAINT CYR LES COLONS",89800,156666.02,0,0,0,156666.02
"SARL DE FRANCE","FAVEROLLES ET COEMY",51170,0,169059.96,0,0,169059.96
"SARL DE L'ETANG","ACHIET LE GRAND",62121,0,0,171761.64,0,171761.64
"SARL DOMAINE DE BOULIEU","COURTENAY",38510,160520.08,0,0,0,160520.08
"SARL DU MOULIN CLIQUOT","TAISSY",51500,159089.54,0,0,0,159089.54
"SARL MADININA CULTURE","TRINITE",97220,0,0,163997.52,0,163997.52
"SARL MORIN","SAINT DENIS DE PALIN",18130,134797.89,0,32352,0,167149.89
"SARL PRIM'SANTERRE","LAUCOURT",80700,0,164334.29,0,0,164334.29
"SARL RHUMS SAINT MAURICE","SAINT LAURENT DU MARONI",97320,0,163460.87,0,0,163460.87
"SARL SADIS","NUEIL SUR LAYON",49560,0,167513.02,0,0,167513.02
"SARL TOUTPAM - LES PLANTES DE LA VALLOIRE","LAPEYROUSE MORNAY",26210,0,0,171772,0,171772
"SAS MOULIN DE SIGNY L'ABBAYE","SIGNY L ABBAYE",8460,0,0,162719.48,0,162719.48
"SAS SAVAJOLS","ANDANCE",7340,0,0,170350,0,170350
"SAS TERRA VECCHIA","ALERIA",20270,0,0,173492.42,0,173492.42
"SC MAS DE L'HOSTE","ARLES",13104,153883.36,0,8479.7,0,162363.06
"SCA BALCONS DU MONT PILAT","BESSEY",42520,0,160991.91,0,0,160991.91
"SCA CAVAC","ROCHE SUR YON",85001,0,156974.09,0,0,156974.09
"SCA CAVE DE TRAENHEIM - CAVE DU ROI DAGOBERT","TRAENHEIM",67310,0,42308.55,117053.16,0,159361.71
"SCA CAVE SAINT-ANDRE","SEILLONS SOURCE D ARGENS",83470,0,176321.23,0,0,176321.23
"SCA CAVES HENRI DE RICHEMER","MARSEILLAN",34340,0,174825.53,0,0,174825.53
"SCA CELLIER SAINT VALENTIN","ROQUEMAURE",30150,0,174693.64,0,0,174693.64
"SCA DE DISTILLATION DES VIGNERONS DE POUZOLLES","MAGALAS",34480,0,160931.91,0,0,160931.91
"SCA DE LA CHAUME","LANTAN",18130,164990.43,0,7600,0,172590.43
"SCA DE LA GRANDE COUR","VINCY MANOEUVRE",77139,164743.7,0,0,0,164743.7
"SCA DE LA VOIE DE TROYES","CHAPELLE VALLON",10700,158262.87,0,0,0,158262.87
"SCA DE MONCASSIN","LEYRITZ MONCASSIN",47700,171177.46,0,0,0,171177.46
"SCA DES OULCHES","SAINT MARD",77230,164667.17,0,0,0,164667.17
"SCA DES PLUMASSIERES","SAINT REMY SUR CREUSE",86220,171275.08,0,0,0,171275.08
"SCA LA MARTINOISE","SAINT GEORGES SUR MOULON",18110,0,169745.46,0,0,169745.46
"SCA LA PERIGOURDINE","BOULAZAC",24750,0,16013.45,160307.36,0,176320.81
"SCA LORIFRUIT","LORIOL SUR DROME",26270,0,160335.33,0,0,160335.33
"SCA SCART","CREPY EN VALOIS",60800,161612.41,0,0,0,161612.41
"SCA VAL UNION","VERDUN SUR LE DOUBS",71350,0,165797.86,0,0,165797.86
"SCA VARLET","FONTAINE LES GRES",10280,169770.95,0,0,0,169770.95
"SCE MAS DE MOLIN","ARLES",13200,162904.79,0,9996.15,0,172900.94
"SCEA AGRIVAL","ABERGEMENT DE CUISERY",71290,143139.87,0,16935.15,0,160075.02
"SCEA AVIN-CERNY","LAON",2000,172267.89,0,0,0,172267.89
"SCEA BOGENEZ","AUGNY",57685,161387.69,0,2000,0,163387.69
"SCEA BOISSEAU ET FILS","ROISSY EN FRANCE",95700,164438.24,0,0,0,164438.24
"SCEA BONNET","AVORD",18520,159557.14,0,0,0,159557.14
"SCEA BRUNET","NOYEN SUR SEINE",77114,168468.3,0,0,0,168468.3
"SCEA CANTE GRIT","CAPTIEUX",33840,168193.89,0,0,0,168193.89
"SCEA COISNON","OUTARVILLE",45480,171786.98,0,0,0,171786.98
"SCEA CUITOT","MAISONS EN CHAMPAGNE",51300,164211.72,0,0,0,164211.72
"SCEA D'AUMENCOURT","COUVRON ET AUMENCOURT",2270,161964.04,0,0,0,161964.04
"SCEA DE BERMERICOURT","BERMERICOURT",51220,166452.92,0,0,0,166452.92
"SCEA DE BERTRANDFOSSE","PLAILLY",60128,173561.82,0,0,0,173561.82
"SCEA DE CUBRY","COULONGES COHAN",2130,164770.57,0,0,0,164770.57
