"Nom / Raison sociale","Commune","Code postal","Paiements directs aux agriculteurs (Feaga)","Autres paiements Feaga","Paiements Feader (hors pr�ts bonifi�s)","Paiements pr�ts bonifi�s (Feader)","Montant total"
"COMITE INTERPROFESSIONNEL VIN D'ALSACE","COLMAR",68000,0,674934.42,0,0,674934.42
"COMITE REGIONAL POUR LA RECONVERSION QUALITATIVE DIFFEREE DU VIGNOBLE","LATTES",34875,0,31387814.58,0,0,31387814.58
"COMMUNAUTE DE COM DU NAUCELLOIS","NAUCELLE",12800,0,0,746000,0,746000
"COMMUNAUTE DE COMMUNE DU ROUMOIS NORD","BOURG ACHARD",27310,0,35.71,630000,0,630035.71
"COMMUNAUTE DE COMMUNES DE L'OUESAINT GUYANAIS","JAVOUHEY",97318,0,0,778971.56,0,778971.56
"COMMUNAUTE DE COMMUNES DE MARIE GALANTE","GRAND BOURG",97112,0,0,530866.92,0,530866.92
"COMMUNAUTE DE COMMUNES DU CANTON DE BROGLIE","BROGLIE",27270,0,0,382536.68,0,382536.68
"COMMUNE DE FOIX","FOIX",9000,0,0,394368.9,0,394368.9
"COMMUNE DE GONDRIN","GONDRIN",32330,0,0,400000,0,400000
"COMMUNE DE HOURTIN","HOURTIN",33990,0,0,807731.49,0,807731.49
"COMMUNE DE MANA","MANA",97360,0,0,658152.16,0,658152.16
"COMMUNE DE MARIPASOULA","MARIPASOULA",97370,0,0,1848886.56,0,1848886.56
"COMMUNE DE SAINT MAURICE SUR MOSELLE","SAINT MAURICE SUR MOSELLE",88560,0,0,568504.63,0,568504.63
"COMMUNE DE SAINT-JOSEPH","SAINT JOSEPH",97480,0,0,2162986.58,0,2162986.58
"COMMUNE DE SARREY","SARREY",52140,0,0,479999.94,0,479999.94
"COMMUNE DE SAINT GEORGES","SAINT GEORGES",97313,0,0,1655164.2,0,1655164.2
"COMPAGNIE D'AMENAGEMENT DES COTEAUX DE GASCOGNE","TARBES",65000,0,0,994800.04,0,994800.04
"COMPAGNIE NOUVELLE DE SUCRERIE","ESTREES DENIECOURT",80200,615240.74,0,0,0,615240.74
"CONCORDE SCEA","SAINTE MARIE",97230,1342971.47,0,0,0,1342971.47
"CONS REG ESPACES NATURELS POITOU CHARENTES","POITIERS",86000,0,0,391759.96,0,391759.96
"CONSEIL GENERAL DE L AVEYRON","RODEZ CEDEX",12007,0,0,1327453.44,0,1327453.44
"CONSEIL GENERAL DE LA COTE D OR","DIJON CEDEX",21035,0,168816.19,376574.36,0,545390.55
"CONSEIL GENERAL DE LA GUADELOUPE","BASSE TERRE",97100,0,0,12355444.4,0,12355444.4
"CONSEIL GENERAL DE LA MARTINIQUE","FORT DE FRANCE",97200,0,0,793814.35,0,793814.35
"CONSEIL GENERAL DU CHER","BOURGES CEDEX",18023,0,0,1515169.72,0,1515169.72
"CONSEIL GENERAL PUY DE DOME","CLERMONT FERRAND",63000,0,0,769712.12,0,769712.12
"CONSEIL GENERAL SAVOIE","CHAMBERY",73000,0,0,545017.82,0,545017.82
"CONSEIL INTERPROF DU VIN DE BORDEAUX","BORDEAUX",33000,0,6082710.84,0,0,6082710.84
"CONSEIL INTERPROFESSIONNEL VINS PROVENCE","ARCS",83460,0,574667.32,0,0,574667.32
"CONSEIL REGIONAL DE LA GUADELOUPE","BASSE TERRE",97100,0,0,2207366.21,0,2207366.21
"CONSEIL REGIONAL DE LA MARTINIQUE","FORT DE FRANCE",97200,0,0,2287500,0,2287500
"CONSERVATOIRE D'ESPACES NATURELS REGION CENTRE","ORLEANS",45000,0,0,467447.74,0,467447.74
"COOP MARAICHERE VAL-DE-LOIRE NANTAIS - VAL NANTAIS","SAINT JULIEN DE CONCELLES",44450,0,976956.32,0,0,976956.32
"COOPEDOM","DOMAGNE",35113,1685.3,413903.17,0,0,415588.47
"COOPERATIVE AGRICOLE JEUNE MONTAGNE","LAGUIOLE",12210,0,0,382102.96,0,382102.96
"COOPERATIVE AGRICOLE VINICOLE","ROGNES",13840,0,962271.95,0,0,962271.95
"COOPERATIVE FROMAGERE DES BERGERS DU LARZAC","CAVALERIE",12230,0,0,773214,0,773214
"COPFEL - ASS. ORG. PRODUCTEURS RECONNUS BRETAGNE FRUITS LEGUMES","SAINT MARTIN DES CHAMPS",29600,0,10527882.99,0,0,10527882.99
"CREN AQUITAINE","PAU",64000,0,0,401438.6,0,401438.6
"CROIX ROUGE FRANCAISE","PARIS 14",75694,0,2140613.39,0,0,2140613.39
"CRPF AUVERGNE","LEMPDES",63370,0,0,414720.7,0,414720.7
"CRPF RHONE ALPES","SAINT DIDIER AU MONT D OR CED",69771,0,0,469732.68,0,469732.68
"CS DE CIZE","SAINT JEAN PIED DE PORT",64220,889.09,0,563073.45,0,563962.54
